jurisdicao,classe,url_inicial,url_final,dominio,http_receipt_id,status_http,sha256_corpo,resultado
AC,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
AC,DOE,,,,,,,A_VALIDAR
AC,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
AL,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
AL,DOE,,,,,,,A_VALIDAR
AL,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
AM,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
AM,DOE,,,,,,,A_VALIDAR
AM,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
AP,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
AP,DOE,,,,,,,A_VALIDAR
AP,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
BA,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
BA,DOE,,,,,,,A_VALIDAR
BA,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
CE,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
CE,DOE,,,,,,,A_VALIDAR
CE,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
DF,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
DF,DOE,,,,,,,A_VALIDAR
DF,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
ES,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
ES,DOE,,,,,,,A_VALIDAR
ES,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
GO,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
GO,DOE,,,,,,,A_VALIDAR
GO,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
MA,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
MA,DOE,,,,,,,A_VALIDAR
MA,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
MG,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
MG,DOE,,,,,,,A_VALIDAR
MG,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
MS,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
MS,DOE,,,,,,,A_VALIDAR
MS,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
MT,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
MT,DOE,,,,,,,A_VALIDAR
MT,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
PA,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
PA,DOE,,,,,,,A_VALIDAR
PA,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
PB,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
PB,DOE,,,,,,,A_VALIDAR
PB,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
PE,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
PE,DOE,,,,,,,A_VALIDAR
PE,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
PI,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
PI,DOE,,,,,,,A_VALIDAR
PI,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
PR,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
PR,DOE,,,,,,,A_VALIDAR
PR,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
RJ,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
RJ,DOE,,,,,,,A_VALIDAR
RJ,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
RN,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
RN,DOE,,,,,,,A_VALIDAR
RN,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
RO,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
RO,DOE,,,,,,,A_VALIDAR
RO,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
RR,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
RR,DOE,,,,,,,A_VALIDAR
RR,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
RS,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
RS,DOE,,,,,,,A_VALIDAR
RS,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
SC,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
SC,DOE,,,,,,,A_VALIDAR
SC,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
SE,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
SE,DOE,,,,,,,A_VALIDAR
SE,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
SP,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
SP,DOE,,,,,,,A_VALIDAR
SP,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
TO,SEFAZ_LEGISLACAO,,,,,,,A_VALIDAR
TO,DOE,,,,,,,A_VALIDAR
TO,ASSEMBLEIA_LEGISLATIVA,,,,,,,A_VALIDAR
