jurisdicao,familia,url,metodo_rederivacao,verificado_em,http_status,url_final,redirects,mime,bytes_lidos,truncado,body_sha256,hash_escopo,status,nota
AC,SEFAZ_LEGISLACAO,https://sefaz.ac.gov.br/,link bruto autorizado + pesquisa publica independente + GET anonimo sem sessao/cookie,2026-07-13T07:58:57-03:00,,,[],,0,False,,,BLOQUEADO,endpoint nao produziu corpo HTTPS confrontavel: URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1010)>
AC,DOE,https://diario.ac.gov.br/,link bruto autorizado + pesquisa publica independente + GET anonimo sem sessao/cookie,2026-07-13T07:58:57-03:00,200,https://diario.ac.gov.br/,[],text/html; charset=iso-8859-1,8018,False,d9bc7611fdeb6ee011fc6609f090acf9f1a1864c4e113c958d1f20a80d42622e,corpo_integral_resposta,OK,endpoint oficial respondeu anonimamente sem cookie
AC,ASSEMBLEIA_LEGISLATIVA,https://www.al.ac.leg.br/,link bruto autorizado + pesquisa publica independente + GET anonimo sem sessao/cookie,2026-07-13T07:58:57-03:00,200,https://www.al.ac.leg.br/,[],text/html; charset=UTF-8,759670,False,8332033ff66e0969fde1c6cfad46ecbdefdd8b79d1f89a9d8d71145ae5f14bc6,corpo_integral_resposta,OK,endpoint oficial respondeu anonimamente sem cookie
AL,SEFAZ_LEGISLACAO,https://www.sefaz.al.gov.br/,link bruto autorizado + pesquisa publica independente + GET anonimo sem sessao/cookie,2026-07-13T07:58:57-03:00,200,https://www.sefaz.al.gov.br/,[],text/html; charset=utf-8,75010,False,e5eb0cfddf5860d66cc829f50745ec5e69dd22c77964fb5d83650ed7116f1cd5,corpo_integral_resposta,A VALIDAR,"portal oficial respondeu, mas URL nao isola a secao de legislacao"
AL,DOE,https://diario.imprensaoficial.al.gov.br/,link bruto autorizado + pesquisa publica independente + GET anonimo sem sessao/cookie,2026-07-13T07:58:57-03:00,200,https://diario.imprensaoficial.al.gov.br/,[],text/html,964,False,f60afb26147ceb8db5687399cb555a965fbf54f0c14d878f17c208274a45e812,corpo_integral_resposta,OK,endpoint oficial respondeu anonimamente sem cookie
AL,ASSEMBLEIA_LEGISLATIVA,https://www.al.al.leg.br/,link bruto autorizado + pesquisa publica independente + GET anonimo sem sessao/cookie,2026-07-13T07:58:57-03:00,200,https://www.al.al.leg.br/,[],text/html;charset=utf-8,8730,False,ff0dbffab356d9b31952ce2c2765acadec6aafeb0aaa30ede40a91961e1264c1,corpo_integral_resposta,OK,endpoint oficial respondeu anonimamente sem cookie
AM,SEFAZ_LEGISLACAO,https://sistemas.sefaz.am.gov.br/get/Normas.do,link bruto autorizado + pesquisa publica independente + GET anonimo sem sessao/cookie,2026-07-13T07:58:57-03:00,200,https://sistemas.sefaz.am.gov.br/get/Normas.do,[],text/html,0,False,e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855,corpo_integral_resposta,BLOQUEADO,endpoint nao produziu corpo HTTPS confrontavel: 200
AM,DOE,https://diario.imprensaoficial.am.gov.br/,link bruto autorizado + pesquisa publica independente + GET anonimo sem sessao/cookie,2026-07-13T07:58:57-03:00,200,https://diario.imprensaoficial.am.gov.br/,[],text/html; charset=UTF-8,16427,False,faecf3027c92afeabe9f106883a4292e14570bccfbaed76e2be79523d5a6320d,corpo_integral_resposta,OK,endpoint oficial respondeu anonimamente sem cookie
AM,ASSEMBLEIA_LEGISLATIVA,https://www.aleam.gov.br/,link bruto autorizado + pesquisa publica independente + GET anonimo sem sessao/cookie,2026-07-13T07:58:57-03:00,200,https://www.aleam.gov.br/,[],text/html; charset=UTF-8,377935,False,95e6a5268a20df3e8ed8bc92f994a25bb1797c8fbc26db83da1577e4cac4789f,corpo_integral_resposta,OK,endpoint oficial respondeu anonimamente sem cookie
AP,SEFAZ_LEGISLACAO,https://www.sefaz.ap.gov.br/,link bruto autorizado + pesquisa publica independente + GET anonimo sem sessao/cookie,2026-07-13T07:58:57-03:00,200,https://www.sefaz.ap.gov.br/,[],text/html,2340,False,1f71e9a5dbb55badae8faa4f8dc2556629b4a2333c3aa6607f11ad1a1ac9c893,corpo_integral_resposta,A VALIDAR,"portal oficial respondeu, mas URL nao isola a secao de legislacao"
