source_id,jurisdicao,classe,url_inicial,url_final,dominio_oficial_esperado,status_http,sha256_corpo,receipt_id,status_prova,observacao
AC::SEFAZ_LEGISLACAO,AC,SEFAZ_LEGISLACAO,https://www.sefaz.ac.gov.br/legislacao/,https://sefaz.ac.gov.br/2021/?page_id=16558,www.sefaz.ac.gov.br,200,23ecc592bf22b9382d3b554d0448f1a8996e0561b285ccdea256a4b203f51e6d,local-AC_SEFAZ_LEGISLACAO-20260716T171414977860Z,CAPTURA_LOCAL_PENDENTE_DE_LEITURA_E_REFETCH,Fonte institucional candidata; não é prova de regra até leitura do ato.
AC::DOE,AC,DOE,https://diario.ac.gov.br/,https://diario.ac.gov.br/,diario.ac.gov.br,200,83c505fec2a057265856b126a31d2ca6c29f61312dd7fc0b64d106b04ca33604,local-AC_DOE-20260716T171414978863Z,CAPTURA_LOCAL_PENDENTE_DE_LEITURA_E_REFETCH,Fonte institucional candidata; não é prova de regra até leitura do ato.
AC::ASSEMBLEIA_LEGISLATIVA,AC,ASSEMBLEIA_LEGISLATIVA,https://www.al.ac.leg.br/,https://www.al.ac.leg.br/,www.al.ac.leg.br,200,ed930c52e4c2948863e32c9ffbc10fb62b7bc13142e593cb7f258a82bec7a1fb,local-AC_ASSEMBLEIA_LEGISLATIVA-20260716T171414978863Z,CAPTURA_LOCAL_PENDENTE_DE_LEITURA_E_REFETCH,Fonte institucional candidata; não é prova de regra até leitura do ato.
AL::SEFAZ_LEGISLACAO,AL,SEFAZ_LEGISLACAO,https://www.sefaz.al.gov.br/legislacao,https://www.sefaz.al.gov.br/legislacao,www.sefaz.al.gov.br,200,691adfd57889f1c296e1f1c593d7de8acda844a54b1d544f85f9f2f6f9be8eb7,local-AL_SEFAZ_LEGISLACAO-20260716T171414978863Z,CAPTURA_LOCAL_PENDENTE_DE_LEITURA_E_REFETCH,Fonte institucional candidata; não é prova de regra até leitura do ato.
AL::DOE,AL,DOE,https://diario.imprensaoficial.al.gov.br/,https://diario.imprensaoficial.al.gov.br/,diario.imprensaoficial.al.gov.br,200,f60afb26147ceb8db5687399cb555a965fbf54f0c14d878f17c208274a45e812,local-AL_DOE-20260716T171414978863Z,CAPTURA_LOCAL_PENDENTE_DE_LEITURA_E_REFETCH,Fonte institucional candidata; não é prova de regra até leitura do ato.
AL::ASSEMBLEIA_LEGISLATIVA,AL,ASSEMBLEIA_LEGISLATIVA,https://www.al.al.leg.br/,https://www.al.al.leg.br/,www.al.al.leg.br,200,ff0dbffab356d9b31952ce2c2765acadec6aafeb0aaa30ede40a91961e1264c1,local-AL_ASSEMBLEIA_LEGISLATIVA-20260716T171414979860Z,CAPTURA_LOCAL_PENDENTE_DE_LEITURA_E_REFETCH,Fonte institucional candidata; não é prova de regra até leitura do ato.
AM::SEFAZ_LEGISLACAO,AM,SEFAZ_LEGISLACAO,https://online.sefaz.am.gov.br/silt/,https://sistemas.sefaz.am.gov.br/silt/,online.sefaz.am.gov.br,200,9024a3aff0ccd53bd042021f683687c1f4c857b1c56c42cc6fbd9a753b365aaf,local-AM_SEFAZ_LEGISLACAO-20260716T171414979860Z,CAPTURA_LOCAL_PENDENTE_DE_LEITURA_E_REFETCH,Fonte institucional candidata; não é prova de regra até leitura do ato.
AM::DOE,AM,DOE,https://diario.imprensaoficial.am.gov.br/,https://diario.imprensaoficial.am.gov.br/,diario.imprensaoficial.am.gov.br,200,a054aecfc094540a1e809c2898b242a135ba06bddd6b949d10245341dd7cb541,local-AM_DOE-20260716T171415074386Z,CAPTURA_LOCAL_PENDENTE_DE_LEITURA_E_REFETCH,Fonte institucional candidata; não é prova de regra até leitura do ato.
AM::ASSEMBLEIA_LEGISLATIVA,AM,ASSEMBLEIA_LEGISLATIVA,https://www.aleam.gov.br/,https://www.aleam.gov.br/,www.aleam.gov.br,200,fcda2e8ff0fd0bb5e5da1c2539304ca83ae8a418e9e7226c63943a70a3176761,local-AM_ASSEMBLEIA_LEGISLATIVA-20260716T171415122386Z,CAPTURA_LOCAL_PENDENTE_DE_LEITURA_E_REFETCH,Fonte institucional candidata; não é prova de regra até leitura do ato.
AP::SEFAZ_LEGISLACAO,AP,SEFAZ_LEGISLACAO,https://virtual.sefaz.ap.gov.br/portal/,https://virtual.sefaz.ap.gov.br/portal/,virtual.sefaz.ap.gov.br,200,5bc394ecabf79062b52d1474a7fdc61ab46432b850c935f8e1e8f627bd9e3d1a,local-AP_SEFAZ_LEGISLACAO-20260716T171415136386Z,CAPTURA_LOCAL_PENDENTE_DE_LEITURA_E_REFETCH,Fonte institucional candidata; não é prova de regra até leitura do ato.
AP::DOE,AP,DOE,https://diofe.portal.ap.gov.br/,https://diofe.portal.ap.gov.br/,diofe.portal.ap.gov.br,200,0ef669f36023212f2345621d5f2b6500d563c8423a0ec2f516fea890f7fbecf9,local-AP_DOE-20260716T171415173381Z,CAPTURA_LOCAL_PENDENTE_DE_LEITURA_E_REFETCH,Fonte institucional candidata; não é prova de regra até leitura do ato.
AP::ASSEMBLEIA_LEGISLATIVA,AP,ASSEMBLEIA_LEGISLATIVA,https://www.al.ap.gov.br/,https://www.al.ap.gov.br/,www.al.ap.gov.br,200,205075c5d1e5eda30b7f779550cc286b28c6640df305b908078d2ac61044313e,local-AP_ASSEMBLEIA_LEGISLATIVA-20260716T171415194387Z,CAPTURA_LOCAL_PENDENTE_DE_LEITURA_E_REFETCH,Fonte institucional candidata; não é prova de regra até leitura do ato.
